Designator,Mid X,Mid Y,Rotation,Layer
C1,21.59,0,270,Top
C2,-3.81,0,270,Top
C3,-29.21,0,270,Top
LED1,0.13,-21.65,180,Top
LED10,12.32,21.46,0,Top
LED11,0,21.59,0,Top
LED12,-12.45,21.59,0,Top
LED13,-25.02,21.65,0,Top
LED14,-37.28,19.55,24,Top
LED15,-46.58,11.58,57,Top
LED16,-50.03,-0.04,90,Top
LED17,-46.47,-11.73,123,Top
LED18,-37.19,-19.61,157,Top
LED19,-24.89,-21.59,180,Top
LED2,12.7,-21.65,180,Top
LED20,-12.45,-21.59,180,Top
LED3,25.15,-21.46,180,Top
LED4,37.34,-19.65,205,Top
LED5,46.62,-11.54,240,Top
LED6,50.01,0.24,270,Top
LED7,46.45,11.86,305,Top
LED8,36.96,19.68,335,Top
LED9,24.77,21.59,0,Top
R1,-6.35,-15.24,0,Top
U$3,0,0.06,0,Top
U$4,-25.4,0.06,0,Top
U$5,25.4,0.06,0,Top
